name,Resizing,Repositioning,Refilling,Repeating,Inclusion,Cutout,Replication,Division
006ac2cb174f99d3dde3eec2d9d0d0dd.jpg,1,0,0,0,1,0,1,0
03566ab006ad407f27851b616cfe8d64.jpg,0,0,1,0,0,0,1,1
035d50b9245a2874b43a200ebbf9264c.jpg,0,0,0,1,1,0,0,1
048f46134fa36717f5c6b3932d459dc9.jpg,0,0,0,1,0,0,1,0
04c7c8ce4796f63023b1c600ad946574--info-graphics-motion-graphics.jpg,0,0,1,0,1,0,1,0
055f1eec2dfe9f96a4ad2fb80e6335a1--design-magazine-print-design.jpg,0,0,1,0,0,0,1,0
063c531bcdd9ef5fff52166d12af4d25.jpg,0,0,0,1,1,0,0,0
073bf47cdac9a96f7d9b4b8381eddfb2.jpg,0,0,1,0,1,0,1,0
0764eaaf645c0ba394a3cac5b8df1655.jpg,0,0,1,0,1,0,0,1
077a642f2adfcc5aa63e117eb91f6a62.jpg,0,0,1,0,1,0,0,0
09424f0a2c83da4e653d8380be18da23.jpg,1,0,0,0,1,0,1,0
09496d8c47e2f1f5abac7dc0819347e7.jpg,0,0,1,0,1,0,1,0
09c4b90431163f1269b0e519fc1f159f.png,1,0,0,0,1,0,1,0
0b1ca792afab4cc35675b838658d284b.jpg,0,0,0,0,1,1,0,0
0bdb0c51f4700cfaac22ba07e984f06d.jpg,1,0,1,0,1,0,1,0
0c3042f3c003022a6fa1c9b72c8d6032.jpg,0,0,1,1,1,0,1,0
0c7f337a5c83166c3496e73ccf6e7fdb.jpg,1,0,0,0,1,0,1,0
0d41eb8d42a2facc9fca6890337a14f6.jpg,1,0,1,0,2,0,1,0
100montreal.png,0,0,0,1,1,0,1,0
10465996204_bd97afa349_k.jpg,1,0,0,0,1,0,1,0
107.png,0,0,0,0,2,0,0,0
108.png,1,0,0,0,1,0,0,0
109.png,0,0,0,0,1,0,0,0
10e2aa24765594fc420645b988ffdf12.jpg,1,0,1,0,1,0,1,0
10e8b5b7123aaea6ca4ebf72edbe5324.jpg,1,0,0,0,2,0,0,0
11-War-Funding.png,0,0,0,1,1,0,1,0
110.png,1,0,1,0,1,0,1,0
116.png,1,0,0,0,1,0,1,0
117.png,0,0,0,1,1,0,0,0
118.png,1,0,1,0,2,0,1,0
11d465b4208defca0bbb500f044b5961.jpg,1,0,1,0,1,0,1,0
126.png,1,0,0,0,2,0,0,0
128.png,1,0,0,0,1,0,0,0
129.png,1,0,0,0,1,0,0,0
12d7e9789a086f80e37512aebad0c97a.png,0,0,0,0,1,0,1,0
136.png,0,0,0,0,1,0,1,0
137.png,1,0,1,0,1,0,1,0
15b2e380d099b368800da4970c30c099.jpg,0,0,1,0,2,0,1,0
16977188178_f316ae5b4b_b.jpg,0,0,0,0,1,0,0,1
17.png,1,0,0,0,1,0,1,0
176218_191679394188315_184334104922844_577047_4788616_o.jpg,0,0,1,0,1,0,1,0
177df887724a50026cf3679e0db44bec.jpg,0,0,1,0,1,0,0,1
185431a7039b42d853a5ed52630c35e8.jpg,0,0,0,0,1,0,0,0
1901843f-8f41-40a3-9dc7-ce17150e1542.png,0,0,1,0,2,0,0,1
196.jpg,1,0,1,0,1,0,1,0
19dfa3e5bb83185ba9810a84a951a90d.jpg,0,0,0,1,0,0,1,0
1a9e288c4a224da455c6d6812d698ba9.jpg,0,0,0,1,1,0,1,0
1b38345261eaf19b38184ca77b43e8e2.jpg,0,0,0,0,1,1,0,0
1baa627a460107b827ce9f4f0a1f09b8.jpg,1,0,1,0,1,0,1,1
1ce1840ce2312835f673ef36a2743fd4.jpg,1,0,0,0,1,0,1,0
1e0a7546ec6d723db3c22a76f4a70486.jpg,0,0,0,0,1,1,0,0
1e4891fc-b141-41e3-b3fd-f2a0e193b444.png,0,0,0,0,1,0,1,0
1_6FKNfVtPHvOUyw52TU6ScA.png,0,0,1,0,2,0,1,1
1_eigiKmIdpYd2HXywnKugSA.png,0,0,1,1,2,0,1,0
1_K9RK43YZ0V6UzuGIqOuELw.jpg,0,0,1,0,2,0,1,0
1_kEAJmDmMqPb971y_xpGnbw.jpg,0,0,0,0,2,1,1,0
1_sqUbqfTBcgmLg9PZ2AmiaA.jpg,1,0,1,0,2,0,1,0
2-Figure2-1.png,1,0,1,1,1,0,1,0
2012-11-19-pies_final.jpg,0,0,0,0,1,1,0,0
2016_election_map_2x.png,0,1,1,1,0,0,1,0
2018-holiday-survey-of-consumers-1600x.png,0,0,1,1,0,0,1,0
201bbbbc1e30db5efcddec837350c4b0.jpg,0,0,1,1,0,0,1,0
20428943372_39bd95ad8d_k.jpg,0,0,1,0,1,0,1,0
20442573381_f48efe849e_k.jpg,0,0,1,1,0,0,1,0
20d657335ede1f240ef0fdbb7db9ad18.jpg,0,0,1,1,0,0,1,0
22.png,1,0,0,0,1,0,0,0
22709684209_7198ea0246_b.jpg,0,0,1,0,1,0,1,0
23.png,1,0,0,0,1,0,0,0
24.png,1,0,0,0,1,0,0,0
24faf3e5dbb98f4fe87a8beccebe6ed3.jpg,0,0,1,0,1,0,1,0
25.png,1,0,0,0,1,0,0,0
2543.webp,0,0,0,0,1,0,1,2
259e475d754e70ce24bdccafe564704b.jpg,0,0,1,0,1,0,0,1
26.png,1,0,0,0,1,0,0,0
